docname,topic,proportion
465_mda.txt,001,0.326761
465_mda.txt,000,0.305867
465_mda.txt,007,0.150939
465_mda.txt,005,0.077395
465_mda.txt,004,0.072636
465_mda.txt,009,0.039136
465_mda.txt,013,0.027265
183_mda.txt,000,0.812207
183_mda.txt,004,0.05741
183_mda.txt,011,0.031129
183_mda.txt,012,0.026729
183_mda.txt,001,0.016212
183_mda.txt,005,0.013341
183_mda.txt,013,0.012533
183_mda.txt,003,0.011449
183_mda.txt,010,0.01062
183_mda.txt,009,0.00837
449_mda.txt,013,0.601812
449_mda.txt,003,0.164867
449_mda.txt,007,0.103655
449_mda.txt,001,0.065857
449_mda.txt,012,0.063809
40_mda.txt,003,1.0
213_mda.txt,003,0.741535
213_mda.txt,009,0.258465
552_mda.txt,009,0.514267
552_mda.txt,000,0.225884
552_mda.txt,011,0.12564
552_mda.txt,013,0.06316
552_mda.txt,012,0.03211
552_mda.txt,003,0.018843
552_mda.txt,001,0.016122
552_mda.txt,007,0.003974
336_mda.txt,000,0.462058
336_mda.txt,001,0.212187
336_mda.txt,013,0.173328
336_mda.txt,003,0.08723
336_mda.txt,009,0.03302
336_mda.txt,007,0.032178
504_mda.txt,001,0.572067
504_mda.txt,003,0.422208
504_mda.txt,000,0.005725
412_mda.txt,002,0.602142
412_mda.txt,000,0.278704
412_mda.txt,013,0.091533
412_mda.txt,003,0.027622
381_mda.txt,001,0.558541
381_mda.txt,004,0.14132
381_mda.txt,000,0.089678
381_mda.txt,007,0.047768
381_mda.txt,006,0.036516
381_mda.txt,013,0.029298
381_mda.txt,005,0.02531
381_mda.txt,011,0.021244
381_mda.txt,009,0.015179
381_mda.txt,010,0.011833
171_mda.txt,004,1.0
415_mda.txt,001,0.678973
415_mda.txt,000,0.25425
415_mda.txt,005,0.022493
415_mda.txt,012,0.014462
415_mda.txt,002,0.011339
415_mda.txt,010,0.01066
415_mda.txt,011,0.007824
251_mda.txt,000,0.864153
251_mda.txt,013,0.038667
251_mda.txt,003,0.025456
251_mda.txt,005,0.020566
251_mda.txt,009,0.016988
251_mda.txt,010,0.014909
251_mda.txt,001,0.013735
251_mda.txt,002,0.005526
528_mda.txt,002,0.801335
528_mda.txt,000,0.146181
528_mda.txt,005,0.052483
545_mda.txt,001,0.647188
545_mda.txt,000,0.224635
545_mda.txt,004,0.052717
545_mda.txt,002,0.030292
545_mda.txt,003,0.018385
545_mda.txt,012,0.011553
545_mda.txt,008,0.008037
545_mda.txt,010,0.007193
56_mda.txt,000,0.746214
56_mda.txt,001,0.078459
56_mda.txt,003,0.047606
56_mda.txt,013,0.020165
56_mda.txt,011,0.01944
56_mda.txt,010,0.01907
56_mda.txt,002,0.018573
56_mda.txt,009,0.0178
56_mda.txt,004,0.017706
56_mda.txt,012,0.014966
131_mda.txt,000,0.649668
131_mda.txt,004,0.147423
131_mda.txt,001,0.078591
131_mda.txt,009,0.037035
131_mda.txt,011,0.022765
131_mda.txt,010,0.021145
131_mda.txt,003,0.020911
131_mda.txt,013,0.015166
131_mda.txt,007,0.007296
436_mda.txt,001,0.295269
436_mda.txt,000,0.293014
436_mda.txt,013,0.154277
436_mda.txt,007,0.091821
436_mda.txt,009,0.054797
436_mda.txt,011,0.054065
436_mda.txt,005,0.023122
436_mda.txt,003,0.02003
436_mda.txt,010,0.007183
436_mda.txt,012,0.006422
237_mda.txt,000,0.784499
237_mda.txt,001,0.064014
237_mda.txt,013,0.05638
237_mda.txt,003,0.054963
237_mda.txt,005,0.015624
237_mda.txt,009,0.013575
237_mda.txt,002,0.010947
51_mda.txt,005,1.0
367_mda.txt,001,0.835038
367_mda.txt,006,0.035032
367_mda.txt,009,0.032684
367_mda.txt,012,0.023535
367_mda.txt,011,0.019387
367_mda.txt,013,0.014087
367_mda.txt,010,0.011226
367_mda.txt,003,0.011203
367_mda.txt,000,0.009243
367_mda.txt,007,0.004958
331_mda.txt,001,0.699414
331_mda.txt,013,0.18017
331_mda.txt,005,0.120416
457_mda.txt,000,0.691611
457_mda.txt,002,0.248298
457_mda.txt,001,0.026138
457_mda.txt,003,0.021985
457_mda.txt,009,0.011967
66_mda.txt,000,0.867768
66_mda.txt,009,0.047456
66_mda.txt,011,0.032006
66_mda.txt,010,0.014153
66_mda.txt,003,0.01265
66_mda.txt,004,0.009106
66_mda.txt,006,0.008564
66_mda.txt,012,0.008297
382_mda.txt,000,0.775607
382_mda.txt,013,0.078819
382_mda.txt,006,0.041241
382_mda.txt,003,0.033442
382_mda.txt,011,0.031303
382_mda.txt,010,0.017027
382_mda.txt,009,0.01056
382_mda.txt,007,0.006484
382_mda.txt,001,0.005516
223_mda.txt,003,1.0
122_mda.txt,011,0.498289
122_mda.txt,000,0.156787
122_mda.txt,013,0.127822
122_mda.txt,001,0.107296
122_mda.txt,003,0.055692
122_mda.txt,009,0.042942
122_mda.txt,012,0.011173
242_mda.txt,000,0.420877
242_mda.txt,001,0.206592
242_mda.txt,004,0.142052
242_mda.txt,002,0.113886
242_mda.txt,009,0.074822
242_mda.txt,005,0.017865
242_mda.txt,014,0.011899
242_mda.txt,012,0.007973
242_mda.txt,013,0.004034
89_mda.txt,010,0.296104
89_mda.txt,013,0.23563
89_mda.txt,011,0.206977
89_mda.txt,001,0.175268
89_mda.txt,003,0.041951
89_mda.txt,012,0.029721
89_mda.txt,009,0.014349
189_mda.txt,001,0.624164
189_mda.txt,000,0.192409
189_mda.txt,004,0.089151
189_mda.txt,002,0.027332
189_mda.txt,012,0.022302
189_mda.txt,010,0.021237
189_mda.txt,003,0.010377
189_mda.txt,007,0.006864
189_mda.txt,008,0.006164
351_mda.txt,000,0.799384
351_mda.txt,001,0.098645
351_mda.txt,003,0.033968
351_mda.txt,009,0.021126
351_mda.txt,011,0.012494
351_mda.txt,013,0.012135
351_mda.txt,006,0.008486
351_mda.txt,012,0.007865
351_mda.txt,014,0.005896
243_mda.txt,011,0.322566
243_mda.txt,000,0.25391
243_mda.txt,013,0.19625
243_mda.txt,009,0.092096
243_mda.txt,001,0.063712
243_mda.txt,004,0.033364
243_mda.txt,003,0.027424
243_mda.txt,008,0.006899
243_mda.txt,010,0.00378
553_mda.txt,001,0.859932
553_mda.txt,003,0.053706
553_mda.txt,011,0.030408
553_mda.txt,012,0.028169
553_mda.txt,015,0.027785
105_mda.txt,017,1.0
168_mda.txt,000,0.793728
168_mda.txt,001,0.09366
168_mda.txt,004,0.030491
168_mda.txt,011,0.018569
168_mda.txt,009,0.017736
168_mda.txt,013,0.013324
168_mda.txt,003,0.012175
168_mda.txt,002,0.008035
168_mda.txt,012,0.007505
168_mda.txt,010,0.004776
423_mda.txt,009,0.379187
423_mda.txt,000,0.201755
423_mda.txt,011,0.183892
423_mda.txt,001,0.156104
423_mda.txt,003,0.033223
423_mda.txt,012,0.021743
423_mda.txt,013,0.019535
423_mda.txt,004,0.004561
244_mda.txt,003,0.769785
244_mda.txt,001,0.144316
244_mda.txt,011,0.0859
288_mda.txt,000,0.806081
288_mda.txt,011,0.062095
288_mda.txt,004,0.027571
288_mda.txt,009,0.023254
288_mda.txt,003,0.020455
288_mda.txt,006,0.018852
288_mda.txt,001,0.013812
288_mda.txt,010,0.011833
288_mda.txt,013,0.009323
288_mda.txt,007,0.004078
451_mda.txt,007,0.215416
451_mda.txt,000,0.200317
451_mda.txt,001,0.186331
451_mda.txt,009,0.164972
451_mda.txt,005,0.104395
451_mda.txt,013,0.097303
451_mda.txt,011,0.025557
451_mda.txt,012,0.00571
142_mda.txt,000,0.854743
142_mda.txt,002,0.033169
142_mda.txt,001,0.026008
142_mda.txt,012,0.021892
142_mda.txt,003,0.021383
142_mda.txt,010,0.017242
142_mda.txt,009,0.014332
142_mda.txt,006,0.010058
142_mda.txt,017,0.001174
112_mda.txt,011,0.38069
112_mda.txt,001,0.320332
112_mda.txt,000,0.185542
112_mda.txt,013,0.040587
112_mda.txt,003,0.04021
112_mda.txt,009,0.024541
112_mda.txt,012,0.008098
456_mda.txt,000,0.884898
456_mda.txt,001,0.036223
456_mda.txt,011,0.029435
456_mda.txt,004,0.017769
456_mda.txt,003,0.01255
456_mda.txt,010,0.011872
456_mda.txt,013,0.007253
318_mda.txt,002,0.930467
318_mda.txt,000,0.069533
205_mda.txt,000,0.89927
205_mda.txt,009,0.048595
205_mda.txt,001,0.02198
205_mda.txt,010,0.016197
205_mda.txt,003,0.013958
278_mda.txt,000,0.277833
278_mda.txt,001,0.22698
278_mda.txt,007,0.215225
278_mda.txt,009,0.118835
278_mda.txt,005,0.062223
278_mda.txt,013,0.037532
278_mda.txt,004,0.024688
278_mda.txt,011,0.016624
278_mda.txt,010,0.012369
278_mda.txt,012,0.007691
269_mda.txt,003,1.0
190_mda.txt,000,0.33007
190_mda.txt,007,0.226056
190_mda.txt,001,0.207478
190_mda.txt,009,0.080947
190_mda.txt,005,0.068419
190_mda.txt,013,0.027901
190_mda.txt,004,0.024816
190_mda.txt,011,0.02316
190_mda.txt,010,0.011153
398_mda.txt,000,0.393788
398_mda.txt,013,0.227088
398_mda.txt,011,0.192837
398_mda.txt,009,0.050284
398_mda.txt,001,0.044599
398_mda.txt,004,0.034419
398_mda.txt,003,0.019214
398_mda.txt,007,0.017127
398_mda.txt,010,0.011032
398_mda.txt,012,0.009613
240_mda.txt,011,0.342661
240_mda.txt,000,0.219154
240_mda.txt,009,0.217104
240_mda.txt,013,0.092597
240_mda.txt,001,0.044833
240_mda.txt,012,0.031294
240_mda.txt,003,0.027007
240_mda.txt,007,0.019039
240_mda.txt,010,0.006312
511_mda.txt,001,0.498891
511_mda.txt,013,0.196284
511_mda.txt,011,0.145343
511_mda.txt,009,0.082268
511_mda.txt,003,0.027687
511_mda.txt,010,0.026749
511_mda.txt,006,0.01554
511_mda.txt,012,0.007238
300_mda.txt,000,0.235011
300_mda.txt,001,0.187461
300_mda.txt,013,0.184063
300_mda.txt,007,0.167619
300_mda.txt,011,0.085536
300_mda.txt,009,0.05132
300_mda.txt,004,0.044494
300_mda.txt,005,0.026278
300_mda.txt,003,0.010953
300_mda.txt,010,0.007265
461_mda.txt,000,0.842897
461_mda.txt,003,0.038621
461_mda.txt,002,0.028956
461_mda.txt,001,0.022464
461_mda.txt,004,0.021998
461_mda.txt,011,0.021395
461_mda.txt,013,0.009965
461_mda.txt,010,0.007556
461_mda.txt,014,0.006147
58_mda.txt,001,0.675339
58_mda.txt,000,0.191983
58_mda.txt,003,0.074493
58_mda.txt,002,0.031292
58_mda.txt,010,0.009477
58_mda.txt,011,0.007209
58_mda.txt,006,0.00562
58_mda.txt,012,0.004587
17_mda.txt,005,1.0
233_mda.txt,003,1.0
50_mda.txt,000,0.820826
50_mda.txt,013,0.081441
50_mda.txt,003,0.033628
50_mda.txt,009,0.019478
50_mda.txt,012,0.018356
50_mda.txt,001,0.011743
50_mda.txt,017,0.00801
50_mda.txt,007,0.006519
91_mda.txt,013,0.553485
91_mda.txt,000,0.217372
91_mda.txt,001,0.094595
91_mda.txt,003,0.081734
91_mda.txt,011,0.052815
110_mda.txt,000,0.882624
110_mda.txt,013,0.045685
110_mda.txt,003,0.02315
110_mda.txt,011,0.021515
110_mda.txt,012,0.01438
110_mda.txt,002,0.006942
110_mda.txt,010,0.005704
534_mda.txt,000,0.612001
534_mda.txt,009,0.160128
534_mda.txt,001,0.086839
534_mda.txt,011,0.037876
534_mda.txt,013,0.037513
534_mda.txt,003,0.034885
534_mda.txt,010,0.018084
534_mda.txt,012,0.012673
508_mda.txt,000,0.86365
508_mda.txt,013,0.05787
508_mda.txt,011,0.022045
508_mda.txt,003,0.019004
508_mda.txt,010,0.0145
508_mda.txt,012,0.009655
508_mda.txt,008,0.007135
508_mda.txt,007,0.00614
234_mda.txt,009,0.481782
234_mda.txt,001,0.266929
234_mda.txt,000,0.129546
234_mda.txt,003,0.024751
234_mda.txt,014,0.024238
234_mda.txt,006,0.020068
234_mda.txt,011,0.019068
234_mda.txt,013,0.018056
234_mda.txt,004,0.015561
525_mda.txt,001,0.242018
525_mda.txt,000,0.221355
525_mda.txt,007,0.178329
525_mda.txt,013,0.15735
525_mda.txt,005,0.094124
525_mda.txt,009,0.058468
525_mda.txt,011,0.020857
525_mda.txt,010,0.017456
525_mda.txt,003,0.010043
308_mda.txt,009,0.353669
308_mda.txt,011,0.276692
308_mda.txt,000,0.164349
308_mda.txt,013,0.080948
308_mda.txt,001,0.064416
308_mda.txt,003,0.037458
308_mda.txt,012,0.015837
308_mda.txt,010,0.006632
121_mda.txt,000,0.5203
121_mda.txt,002,0.418124
121_mda.txt,003,0.055079
121_mda.txt,001,0.006497
399_mda.txt,000,0.762276
399_mda.txt,001,0.066886
399_mda.txt,009,0.058077
399_mda.txt,011,0.025216
399_mda.txt,004,0.024561
399_mda.txt,002,0.023516
399_mda.txt,003,0.019978
399_mda.txt,012,0.008249
399_mda.txt,010,0.005753
399_mda.txt,007,0.005488
376_mda.txt,013,0.30752
376_mda.txt,011,0.254107
376_mda.txt,000,0.234099
376_mda.txt,009,0.129851
376_mda.txt,003,0.03748
376_mda.txt,007,0.018896
376_mda.txt,012,0.012398
376_mda.txt,010,0.005648
92_mda.txt,000,0.806766
92_mda.txt,011,0.056284
92_mda.txt,001,0.045746
92_mda.txt,009,0.02808
92_mda.txt,003,0.021842
92_mda.txt,010,0.017966
92_mda.txt,013,0.012437
92_mda.txt,012,0.01088
123_mda.txt,000,0.763138
123_mda.txt,004,0.089426
123_mda.txt,001,0.062356
123_mda.txt,009,0.034635
123_mda.txt,003,0.034489
123_mda.txt,010,0.015956
81_mda.txt,001,0.615697
81_mda.txt,000,0.084033
81_mda.txt,013,0.070468
81_mda.txt,003,0.04976
81_mda.txt,009,0.041398
81_mda.txt,011,0.036876
81_mda.txt,006,0.027205
81_mda.txt,010,0.026706
81_mda.txt,012,0.024342
81_mda.txt,007,0.012736
181_mda.txt,001,0.629148
181_mda.txt,000,0.202812
181_mda.txt,004,0.069182
181_mda.txt,002,0.052533
181_mda.txt,005,0.014799
181_mda.txt,008,0.014778
181_mda.txt,012,0.009281
181_mda.txt,014,0.007467
136_mda.txt,003,0.491219
136_mda.txt,013,0.254042
136_mda.txt,000,0.200435
136_mda.txt,001,0.054304
1_mda.txt,000,0.816178
1_mda.txt,013,0.059802
1_mda.txt,004,0.0307
1_mda.txt,006,0.023122
1_mda.txt,003,0.022992
1_mda.txt,009,0.014934
1_mda.txt,011,0.012648
1_mda.txt,001,0.010043
1_mda.txt,008,0.005662
1_mda.txt,010,0.003917
353_mda.txt,006,0.556975
353_mda.txt,005,0.262436
353_mda.txt,001,0.138605
353_mda.txt,015,0.041985
314_mda.txt,000,0.734605
314_mda.txt,001,0.109625
314_mda.txt,006,0.040583
314_mda.txt,009,0.033766
314_mda.txt,012,0.01701
314_mda.txt,002,0.013796
314_mda.txt,003,0.011658
314_mda.txt,011,0.009362
314_mda.txt,004,0.009057
314_mda.txt,010,0.008843
383_mda.txt,012,0.451815
383_mda.txt,003,0.136232
383_mda.txt,013,0.122666
383_mda.txt,009,0.109782
383_mda.txt,000,0.091013
383_mda.txt,001,0.088492
19_mda.txt,000,0.553571
19_mda.txt,003,0.132996
19_mda.txt,006,0.112276
19_mda.txt,001,0.097329
19_mda.txt,013,0.023215
19_mda.txt,009,0.02315
19_mda.txt,008,0.021311
19_mda.txt,007,0.013953
19_mda.txt,012,0.013115
19_mda.txt,014,0.009085
354_mda.txt,003,0.34546
354_mda.txt,000,0.274909
354_mda.txt,011,0.185322
354_mda.txt,001,0.117803
354_mda.txt,016,0.076506
137_mda.txt,002,0.864027
137_mda.txt,000,0.135973
180_mda.txt,000,0.716038
180_mda.txt,009,0.083345
180_mda.txt,001,0.05595
180_mda.txt,003,0.052744
180_mda.txt,004,0.020475
180_mda.txt,011,0.020084
180_mda.txt,012,0.018061
180_mda.txt,010,0.016846
180_mda.txt,013,0.010184
180_mda.txt,002,0.006274
64_mda.txt,011,0.406533
64_mda.txt,009,0.217059
64_mda.txt,001,0.168528
64_mda.txt,000,0.122649
64_mda.txt,003,0.036817
64_mda.txt,013,0.021914
64_mda.txt,007,0.014157
64_mda.txt,012,0.012344
3_mda.txt,000,0.597488
3_mda.txt,001,0.184314
3_mda.txt,013,0.079521
3_mda.txt,011,0.049821
3_mda.txt,009,0.040216
3_mda.txt,003,0.028651
3_mda.txt,004,0.013565
3_mda.txt,010,0.006423
422_mda.txt,002,0.488254
422_mda.txt,000,0.47943
422_mda.txt,003,0.032316
363_mda.txt,000,0.822555
363_mda.txt,001,0.057915
363_mda.txt,009,0.031518
363_mda.txt,003,0.024508
363_mda.txt,011,0.019941
363_mda.txt,013,0.018611
363_mda.txt,010,0.009907
363_mda.txt,012,0.0091
363_mda.txt,004,0.005946
101_mda.txt,009,0.295077
101_mda.txt,011,0.197452
101_mda.txt,000,0.182164
101_mda.txt,013,0.169513
101_mda.txt,001,0.104655
101_mda.txt,003,0.042397
101_mda.txt,012,0.008743
462_mda.txt,000,0.512189
462_mda.txt,001,0.266298
462_mda.txt,002,0.058363
462_mda.txt,009,0.038486
462_mda.txt,010,0.035143
462_mda.txt,003,0.031487
462_mda.txt,012,0.022552
462_mda.txt,011,0.018113
462_mda.txt,014,0.017368
193_mda.txt,001,0.613915
193_mda.txt,013,0.15948
193_mda.txt,000,0.117668
193_mda.txt,011,0.043413
193_mda.txt,009,0.040017
193_mda.txt,012,0.010071
193_mda.txt,003,0.009505
193_mda.txt,008,0.005931
537_mda.txt,003,0.778853
537_mda.txt,000,0.180859
537_mda.txt,001,0.040288
209_mda.txt,005,1.0
273_mda.txt,011,0.292596
273_mda.txt,001,0.28397
273_mda.txt,003,0.115162
273_mda.txt,012,0.09844
273_mda.txt,000,0.097367
273_mda.txt,005,0.093164
273_mda.txt,006,0.019302
148_mda.txt,009,0.421171
148_mda.txt,011,0.219254
148_mda.txt,000,0.179136
148_mda.txt,001,0.158299
148_mda.txt,003,0.01874
148_mda.txt,010,0.003401
120_mda.txt,002,0.586414
120_mda.txt,000,0.355182
120_mda.txt,003,0.046146
120_mda.txt,001,0.012258
7_mda.txt,011,0.57795
7_mda.txt,000,0.223469
7_mda.txt,009,0.052731
7_mda.txt,007,0.044819
7_mda.txt,013,0.035982
7_mda.txt,003,0.028832
7_mda.txt,012,0.028378
7_mda.txt,010,0.007839
182_mda.txt,000,0.848678
182_mda.txt,001,0.048138
182_mda.txt,003,0.030416
182_mda.txt,013,0.020491
182_mda.txt,011,0.018981
182_mda.txt,014,0.0104
182_mda.txt,004,0.008982
182_mda.txt,012,0.008316
182_mda.txt,008,0.005598
108_mda.txt,001,0.739125
108_mda.txt,013,0.094665
108_mda.txt,011,0.05409
108_mda.txt,012,0.042172
108_mda.txt,003,0.033465
108_mda.txt,009,0.026697
108_mda.txt,006,0.009787
154_mda.txt,000,0.855125
154_mda.txt,013,0.05101
154_mda.txt,003,0.031417
154_mda.txt,011,0.020803
154_mda.txt,001,0.018596
154_mda.txt,004,0.01658
154_mda.txt,010,0.006469
277_mda.txt,011,0.362306
277_mda.txt,000,0.344102
277_mda.txt,013,0.171417
277_mda.txt,009,0.054057
277_mda.txt,003,0.034565
277_mda.txt,012,0.02926
277_mda.txt,010,0.004293
20_mda.txt,003,0.719299
20_mda.txt,000,0.142657
20_mda.txt,011,0.138044
409_mda.txt,005,1.0
287_mda.txt,003,0.651992
287_mda.txt,000,0.281513
287_mda.txt,001,0.066495
388_mda.txt,001,0.351282
388_mda.txt,007,0.21885
388_mda.txt,006,0.13744
388_mda.txt,000,0.112358
388_mda.txt,004,0.05947
388_mda.txt,005,0.048256
388_mda.txt,013,0.047871
388_mda.txt,011,0.015063
388_mda.txt,010,0.00941
486_mda.txt,003,1.0
179_mda.txt,001,0.591766
179_mda.txt,000,0.218767
179_mda.txt,004,0.0901
179_mda.txt,009,0.020373
179_mda.txt,011,0.017895
179_mda.txt,006,0.016132
179_mda.txt,010,0.012168
179_mda.txt,012,0.010713
179_mda.txt,003,0.008673
179_mda.txt,008,0.007151
86_mda.txt,003,0.799752
86_mda.txt,001,0.102642
86_mda.txt,011,0.097606
480_mda.txt,001,0.564078
480_mda.txt,000,0.185702
480_mda.txt,004,0.148638
480_mda.txt,002,0.046179
480_mda.txt,005,0.01966
480_mda.txt,010,0.013719
480_mda.txt,006,0.011679
480_mda.txt,012,0.005542
480_mda.txt,017,0.004804
130_mda.txt,001,0.689906
130_mda.txt,011,0.079745
130_mda.txt,009,0.05221
130_mda.txt,013,0.046497
130_mda.txt,010,0.044852
130_mda.txt,012,0.037955
130_mda.txt,006,0.027401
130_mda.txt,003,0.021435
325_mda.txt,003,0.314892
325_mda.txt,000,0.233554
325_mda.txt,009,0.228755
325_mda.txt,001,0.153614
325_mda.txt,004,0.069185
184_mda.txt,000,0.375844
184_mda.txt,013,0.325063
184_mda.txt,011,0.107522
184_mda.txt,001,0.086573
184_mda.txt,003,0.053532
184_mda.txt,009,0.036439
184_mda.txt,012,0.015027
238_mda.txt,000,0.747374
238_mda.txt,009,0.076973
238_mda.txt,004,0.046703
238_mda.txt,013,0.043858
238_mda.txt,011,0.039005
238_mda.txt,001,0.024578
238_mda.txt,003,0.016386
238_mda.txt,010,0.005123
475_mda.txt,000,0.747952
475_mda.txt,001,0.077832
475_mda.txt,004,0.066516
475_mda.txt,003,0.033184
475_mda.txt,009,0.026961
475_mda.txt,011,0.016539
475_mda.txt,002,0.0112
475_mda.txt,006,0.01006
475_mda.txt,010,0.005299
475_mda.txt,014,0.004457
450_mda.txt,000,0.303441
450_mda.txt,012,0.17444
450_mda.txt,013,0.170079
450_mda.txt,001,0.147009
450_mda.txt,003,0.091829
450_mda.txt,006,0.09019
450_mda.txt,009,0.023012
556_mda.txt,000,0.852795
556_mda.txt,001,0.076491
556_mda.txt,003,0.024642
556_mda.txt,011,0.016913
556_mda.txt,004,0.015397
556_mda.txt,009,0.010728
556_mda.txt,002,0.003034
68_mda.txt,000,0.766048
68_mda.txt,001,0.071041
68_mda.txt,006,0.055072
68_mda.txt,011,0.050194
68_mda.txt,014,0.033705
68_mda.txt,003,0.014447
68_mda.txt,010,0.009493
519_mda.txt,005,1.0
443_mda.txt,003,1.0
46_mda.txt,000,0.798661
46_mda.txt,009,0.039569
46_mda.txt,001,0.032684
46_mda.txt,011,0.030636
46_mda.txt,004,0.027887
46_mda.txt,003,0.026772
46_mda.txt,010,0.011554
46_mda.txt,014,0.009484
46_mda.txt,007,0.009283
46_mda.txt,013,0.008608
42_mda.txt,003,1.0
31_mda.txt,001,0.638265
31_mda.txt,000,0.161766
31_mda.txt,013,0.091266
31_mda.txt,002,0.057657
31_mda.txt,009,0.023482
31_mda.txt,003,0.023054
31_mda.txt,004,0.004511
312_mda.txt,016,1.0
482_mda.txt,009,0.462773
482_mda.txt,001,0.249112
482_mda.txt,000,0.139518
482_mda.txt,011,0.099481
482_mda.txt,003,0.023229
482_mda.txt,013,0.020502
482_mda.txt,012,0.005385
225_mda.txt,005,1.0
35_mda.txt,004,0.954448
35_mda.txt,001,0.045552
24_mda.txt,009,0.458243
24_mda.txt,000,0.295271
24_mda.txt,011,0.08942
24_mda.txt,007,0.057932
24_mda.txt,001,0.035367
24_mda.txt,003,0.021146
24_mda.txt,010,0.015472
24_mda.txt,012,0.015294
24_mda.txt,013,0.011855
551_mda.txt,000,0.414604
551_mda.txt,009,0.186701
551_mda.txt,006,0.167445
551_mda.txt,001,0.081681
551_mda.txt,013,0.051762
551_mda.txt,011,0.048105
551_mda.txt,003,0.043582
551_mda.txt,012,0.00612
32_mda.txt,000,0.871794
32_mda.txt,013,0.04196
32_mda.txt,003,0.024482
32_mda.txt,011,0.020563
32_mda.txt,012,0.010469
32_mda.txt,010,0.010355
32_mda.txt,004,0.010036
32_mda.txt,009,0.007668
32_mda.txt,001,0.002675
296_mda.txt,000,0.421305
296_mda.txt,002,0.41283
296_mda.txt,005,0.117224
296_mda.txt,003,0.037005
296_mda.txt,001,0.011636
